question_id,question_number,price,human_purchase_share,respondents,question
QID9_1,1,7.39,0.38323353293413176,167,"Please consider the following product category: Dairy Products. Suppose you are in a grocery store, and you see the following product in that category: Land O Lakes Salted Stick Butter, 16 oz, 4 Sticks. The product is priced at: $7.39. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_2,2,2.19,0.3772455089820359,167,"Please consider the following product category: Pain Remedies - Headache. Suppose you are in a grocery store, and you see the following product in that category: Tylenol Extra Strength Caplets with 500 mg Acetaminophen, 100 Ct. The product is priced at: $2.19. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_3,3,1.58,0.46706586826347307,167,"Please consider the following product category: Cat Food - Wet Type. Suppose you are in a grocery store, and you see the following product in that category: Purina Fancy Feast Chicken Feast Classic Grain Free Wet Cat Food Pate - 3 oz. Can. The product is priced at: $1.58. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_4,4,2.26,0.46706586826347307,167,"Please consider the following product category: Frozen Italian Entrees. Suppose you are in a grocery store, and you see the following product in that category: Smart Ones Three Cheese Ziti Marinara Frozen Meal, 9 Oz Box. The product is priced at: $2.26. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_5,5,53.98,0.47904191616766467,167,"Please consider the following product category: Refrigerated Deli Meats. Suppose you are in a grocery store, and you see the following product in that category: Goya Cooked Ham 16 oz. The product is priced at: $53.98. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_6,6,7.62,0.48502994011976047,167,"Please consider the following product category: Snacks - Potato Chips. Suppose you are in a grocery store, and you see the following product in that category: Lay's Classic Potato Snack Chips, Party Size, 13 oz Bag. The product is priced at: $7.62. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_7,7,11.98,0.46107784431137727,167,"Please consider the following product category: Bottled Water. Suppose you are in a grocery store, and you see the following product in that category: OZARKA Brand 100% Natural Spring Water, 16.9-ounce plastic bottles (Pack of 35). The product is priced at: $11.98. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_8,8,11.67,0.4311377245508982,167,"Please consider the following product category: Pet Supplies - Dog Food. Suppose you are in a grocery store, and you see the following product in that category: Purina Dog Chow Complete, Dry Dog Food for Adult Dogs High Protein, Real Chicken, 44 lb Bag. The product is priced at: $11.67. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_9,9,0.95,0.41916167664670656,167,"Please consider the following product category: Fresh Fruit. Suppose you are in a grocery store, and you see the following product in that category: Fresh Raspberries, 12 oz Container. The product is priced at: $0.95. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_10,10,0.87,0.4311377245508982,167,"Please consider the following product category: Lunchmeat - Sliced - Refrigerated. Suppose you are in a grocery store, and you see the following product in that category: Oscar Mayer Chopped Ham & Water product Deli Lunch Meat, 16 Oz Package. The product is priced at: $0.87. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_11,11,7.18,0.4311377245508982,167,"Please consider the following product category: Refrigerated Entrees. Suppose you are in a grocery store, and you see the following product in that category: John Soules Foods Chicken Breast Fajita Strips, Refrigerated, 16oz, 18g Protein per 3oz Serving Size. The product is priced at: $7.18. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_12,12,15.73,0.41916167664670656,167,"Please consider the following product category: Beer. Suppose you are in a grocery store, and you see the following product in that category: Stella Artois Lager, 12 Pack, 11.2 fl oz Glass Bottles, 5% ABV, Domestic Beer. The product is priced at: $15.73. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_13,13,9.86,0.41317365269461076,167,"Please consider the following product category: Cereal - Ready to Eat. Suppose you are in a grocery store, and you see the following product in that category: Cinnamon Toast Crunch Breakfast Cereal, Crispy Cinnamon Cereal, Family Size, 18.8 oz. The product is priced at: $9.86. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
QID9_14,14,1.85,0.4491017964071856,167,"Please consider the following product category: Cleaning Supplies. Suppose you are in a grocery store, and you see the following product in that category: ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 1 lb Box. The product is priced at: $1.85. Would you or would you not purchase this product? Options: 1. Yes, I would purchase the product; 2. No, I would not purchase the product"
